"","skclnt","skitem","buyer_num","buyer_name","po_number","ndc","item_description","vendor_number","vendor_name","ship_point","sub_group","actual_leadtime","order_date","receipt_date","sku_lt_orderdate","relationship_lt_orderdate","realtionship_lt_today","order_qty","total_receipt_qty","purchasing_team","orderdate_aa_code","bypass_lt","gen_nam","card_gcn_id","card_gen_ind_desc","ahfs_desc","fin_flag","fin_flag_gcn","source_type","nlc_type_desc","accunet","card_sbst_key_id","pack_qty","cvs_formulary_a_b_d","cvs_segment","sku","snapshot_date","skfcst","skappc"
"11","011D","5407622","632","ADAM STEMM","4244633","33342018010","OLMESARTAN MEDOX 40MG 90","10556","MACLEODS PHARMA USA INC CS","","",7,2021-06-15,2021-06-22,7.63,7,7,24,24,"Generics","0","N","OLMESARTAN MEDOXOMIL","17286","GENERIC DRUG","ANGIOTENSIN II RECEPTOR ANTAGONISTS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",90,"17286001",1,"PRIMARY, NO FORM, PRIMARY","WH, WH, WH","5407622011D",2021-11-01,3.25,27.6
"12","098D","3687241","623","MARISSA HORN","4380017","00781604158","AMOXICILLIN 250MG/5ML 80ML","02541","SANDOZ CS","","",12,2021-09-03,2021-09-15,5.01,4,4,288,288,"Generics","0","N","AMOXICILLIN TRIHYDRATE","39683","GENERIC DRUG","PENICILLINS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",80,"39683004",1,NA,"WH, WH, WH","3687241098D",2021-11-01,204.28,3.12
"13","064D","1273218","633","CAMERON HOWARD","0368228","00409397703","WATER 25X30ML BACT INJ","57147","PFIZER INJECTABLE SI","","",11,2021-05-03,2021-05-14,7.29,7,7,24,24,"Generics","921","Y","WATER BACTERIOSTATIC - INJECT","36639","GENERIC DRUG","PHARMACEUTICAL AIDS",NA,NA,"SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",750,"36639004",25,NA,NA,"1273218064D",2021-11-01,4.5,33.88
"14","064D","4378089","632","ADAM STEMM","0369663","61442010310","DICLOFENAC SOD 75MG 1000 DR EC","09748","CARLSBAD TECHNOLOGY INC CS","","",8,2021-05-24,2021-06-01,5.16,7,7,24,24,"Generics","0","Y","DICLOFENAC SODIUM","35852","GENERIC DRUG","OTHER NONSTEROIDAL ANTI-INFLAM. AGENTS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",1000,"35852006",1,NA,"WH, WH, WH","4378089064D",2021-11-01,19.33,250
"15","064D","5469036","632","ADAM STEMM","4367009","00121082601","OXYCODONE HCL 20MG/ML 30ML C2","04289","PHARMACEUTICAL ASSOC CS","SC","OPIOID",2,2021-08-30,2021-09-01,2.49,7,6,12,12,"Generics","0","N","OXYCODONE HCL","16281","GENERIC DRUG","OPIATE AGONISTS","2","yes","SOURCE B - IN SCOPE","CENTRALIZED",30,"16281004",1,NA,"C2, C2, C2","5469036064D",2021-11-01,2,169
"16","011D","5450903","633","CAMERON HOWARD","4306907","00406012401","HYDROCOD/AP7.5-325MG100 KRG C2","02598","SPECGX LLC CS","NY","KRG",3,2021-07-26,2021-07-29,2.83,7,5,60,60,"Generics","0","N","HYDROCOD/ACETAMIN","12488","GENERIC DRUG","OPIATE AGONISTS",NA,"yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"12488000",1,NA,"C2, C2, C2","5450903011D",2021-11-01,62.97,36.44
"17","099D","5540646","634","CHRISTOPHER PELT","4372762","68180094111","TESTOSTERONE 1.62% 75GM PMP C3","04901","LUPIN PHARMA INC CS NCBNET","","",3,2021-09-01,2021-09-04,2.79,3,3,600,600,"Generics","0","Y","TESTOSTERONE","29905","GENERIC DRUG","ANDROGENS",NA,"yes","GENERIC DRUG","CENTRALIZED",75,"29905001",1,"PRIMARY, PRIMARY, PRIMARY","OV, OV, OV","5540646099D",2021-11-01,1138.23,184.25
"18","026D","5505482","628","JEANNINE ROGERS","4263019","71093014105","METHOCARBAMOL 750MG 500","57257","ACI HEALTHCARE USA INC CS","","",3,2021-06-28,2021-07-01,3.66,3,3,180,180,"Generics","0","Y","UNDER REVIEW","17893","GENERIC DRUG","CENTRALLY ACTING SKELETAL MUSCLE RELAXNT",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",500,"17893004",1,"SECONDARY, PRIMARY, PRIMARY","WH, WH, WH","5505482026D",2021-11-01,10.59,35
"19","064D","5325790","633","CAMERON HOWARD","0369176","69097091302","OMEPRAZ/SOD BICRB 20-1100MG 30","11037","CIPLA USA INC CS","","",9,2021-05-17,2021-05-26,6.79,7,7,48,48,"Generics","0","N","OMEPRAZOLE/SOD BICARB","26632","GENERIC DRUG","PROTON-PUMP INHIBITORS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"26632000",1,"PRIMARY, PRIMARY, PRIMARY","OV, OV, OV","5325790064D",2021-11-01,54.71,100
"20","006D","5563366","627","LISA POSTON","4313245","71930004512","OXYCOD/APAP 5-325MG 100 C2","57364","EYWA PHARM CS NCB","FL","",7,2021-07-28,2021-08-04,7.51,8,8,204,48,"Generics","992","Y","OXYCODONE/ACETAMIN","70491","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"70491003",1,NA,"C2, C2, C2","5563366006D",2021-11-01,275.45,25
"21","095D","5428727","632","ADAM STEMM","4190024","43547040711","CLONAZEPAM 1MG 1000 C4","09614","SOLCO HEALTHCARE US LLC CS","","",6,2021-05-12,2021-05-18,6.09,7,7,31,31,"Generics","0","N","CLONAZEPAM","17471","GENERIC DRUG","BENZODIAZEPINES (ANTICONVULSANTS)","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",1000,"17471000",1,NA,"WH, WH, WH","5428727095D",2021-11-01,0,52
"22","099D","4597662","622","ESMERALDA TUSSING","4173756","55111066230","ROPINIROLE ER 8MG 30 CPLT","04564","DR REDDYS LABS INC CS","","",3,2021-05-03,2021-05-06,4.21,3,4,96,96,"Generics","0","N","ROPINIROLE HCL","99572","GENERIC DRUG","NONERGOT-DERIV.DOPAMINE RECEPTOR AGONIST",NA,"yes","SOURCE B - IN SCOPE","CENTRALIZED",30,"99572004",1,"PRIMARY, NO FORM, PRIMARY","OV, OV, OV","4597662099D",2021-11-01,165.36,193.76
"23","064D","5007406","634","CHRISTOPHER PELT","4367014","68180069706","TRAMADOL HCL 100MG 30 ER C4","04901","LUPIN PHARMA INC CS NCBNET","","OPIOID",2,2021-08-30,2021-09-01,7,7,7,96,96,"Generics","0","N","TRAMADOL HCL","26387","GENERIC DRUG","OPIATE AGONISTS","2","yes","SOURCE A - IN SCOPE","CENTRALIZED",30,"26387002",1,"PRIMARY, PRIMARY, PRIMARY","WH, WH, WH","5007406064D",2021-11-01,50.89,80.86
"24","064D","2222750","628","JEANNINE ROGERS","4414104","60951060270","ENDOCET 5-325MG 100 C2","02546","PAR PHARM CS","TN","OPIOID",14,2021-09-27,2021-10-11,4.12,3,3,24,24,"Generics","0","N","OXYCODONE/ACETAMIN","70491","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",100,"70491003",1,NA,"C2, C2, C2","2222750064D",2021-11-01,44.28,25.02
"25","099D","1661818","630","CODY DIERCKS","4350717","00472033730","HYDROCORTISONE 2.5% 30GM","02543","TEVA PHARMA CS","","",4,2021-08-19,2021-08-23,3.65,6,6,240,240,"Generics","0","N","HYDROCORTISONE","30943","GENERIC DRUG","CORTICOSTEROIDS (SKIN, MUCOUS MEMBRANE)",NA,"yes","GENERIC DRUG","CENTRALIZED",30,"30943009",1,NA,"WH, WH, WH","1661818099D",2021-11-01,311.96,6.5
"26","064D","5418686","632","ADAM STEMM","0374503","42858050103","BUPRENORPHINE 2MG 30 SL C3","09697","RHODES PHARMACEUTICALS LP CS","","",5,2021-08-04,2021-08-09,5.16,6,6,48,48,"Generics","0","N","BUPRENORPHINE HCL","64672","GENERIC DRUG","OPIATE PARTIAL AGONISTS","2","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",30,"64672001",1,NA,"WH, WH, WH","5418686064D",2021-11-01,45.3,9.22
"27","064D","3660339","630","CODY DIERCKS","0372814","00338004904","SODIUM CL 0.9% 14X1000ML VF","00157","BAXTER IV SYSTEMS","","",1,2021-07-12,2021-07-13,2.9,3,3,1,1,"Generics","998","N","SODIUM CHLORIDE 0.9%","2962","GENERIC DRUG","REPLACEMENT PREPARATIONS","4","yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",14000,"02962157",14,NA,NA,"3660339064D",2021-11-01,2.05,63.23
"28","015D","4096749","632","ADAM STEMM","4454866","13668000810","ZOLPIDEM TART 10MG 1000 C4","09196","TORRENT PHARMA INC CS","","",1,2021-10-20,2021-10-21,2.26,5,5,24,24,"Generics","0","N","ZOLPIDEM TARTRATE","871","GENERIC DRUG","ANXIOLYTICS,SEDATIVES,AND HYPNOTICS,MISC","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",1000,"00871006",1,NA,NA,"4096749015D",2021-11-01,18.58,90
"29","099D","4979399","622","ESMERALDA TUSSING","4241340","68462038401","ESZOPICLONE 3MG 100 C4","04956","GLENMARK PHARMA INC USA CS","","CAGE",9,2021-06-14,2021-06-23,10.09,9,9,96,96,"Generics","992","Y","ESZOPICLONE","23925","GENERIC DRUG","ANXIOLYTICS,SEDATIVES,AND HYPNOTICS,MISC",NA,"yes","GENERIC DRUG","CENTRALIZED",100,"23925000",1,NA,"WH, WH, WH","4979399099D",2021-11-01,184.12,50
"30","099D","1261593","627","LISA POSTON","4247295","00054317644","DEXAMETH INTNS 1MG/ML 30ML","02811","HIKMA CS","","",5,2021-06-16,2021-06-21,2.36,3,3,360,360,"Generics","0","N","DEXAMETHASONE","27412","GENERIC DRUG","ADRENALS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",30,"27412001",1,"PRIMARY, PRIMARY, PRIMARY","OV, OV, OV","1261593099D",2021-11-01,729.31,23.84
"31","064D","5102520","633","CAMERON HOWARD","0369176","69097015812","MELOXICAM 7.5MG 500","11037","CIPLA USA INC CS","","",9,2021-05-17,2021-05-26,7.72,7,7,48,48,"Generics","0","N","MELOXICAM","31661","GENERIC DRUG","OTHER NONSTEROIDAL ANTI-INFLAM. AGENTS","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",500,"31661002",1,NA,"WH, WH, WH","5102520064D",2021-11-01,35.03,19.4
"32","064D","3526621","628","JEANNINE ROGERS","0370520","60951071270","ENDOCET 10-325MG 100 C2","02546","PAR PHARM CS","TN","OPIOID",3,2021-06-07,2021-06-10,4.48,3,3,72,72,"Generics","0","N","OXYCODONE/ACETAMIN","14966","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",100,"14966000",1,NA,"C2, C2, C2","3526621064D",2021-11-01,530.44,142.34
"33","010D","5419080","633","CAMERON HOWARD","4403268","69452020913","NIMODIPINE 30MG 3X10UD SFG","10551","BIONPHARMA INC CS","","",3,2021-09-20,2021-09-23,3.23,7,7,12,12,"Generics","0","N","NIMODIPINE","2440","GENERIC DRUG","DIHYDROPYRIDINES","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"02440001",3,"PRIMARY, PRIMARY, PRIMARY",NA,"5419080010D",2021-11-01,5.42,86.19
"34","032D","5309836","625","JEFF MEGYESI","4172958","27241006303","VORICONAZOLE 200MG 30","10863","AJANTA PHARMA USA INC CS","","",4,2021-05-03,2021-05-07,6.47,8,8,144,72,"Generics","0","N","VORICONAZOLE","17498","GENERIC DRUG","AZOLES","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",30,"17498000",1,NA,"WH, WH, WH","5309836032D",2021-11-01,51.4,225
"35","010D","5705959","634","CHRISTOPHER PELT","4301083","72205005108","ALBENDAZOLE 200MG 2","57440","NOVADOZ PHARMACEUTICALS LLC CS","","",6,2021-07-20,2021-07-26,6.42,7,7,24,24,"Generics","0","N","ALBENDAZOLE","53290","GENERIC DRUG","ANTHELMINTICS","2","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",2,"53290000",1,NA,"WH, WH, WH","5705959010D",2021-11-01,18.17,59.75
"36","064D","4530648","622","ESMERALDA TUSSING","0373307","58980096012","SONAFINE EMULSION 45GM TOP","02613","STRATUS PHARM CS","","",3,2021-07-19,2021-07-22,9.39,7,7,12,12,"Generics","998","Y","WOUND CARE EMOLLIENT/CLEANSERS","26264","GENERIC DRUG","DEVICES","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",45,"26264002",1,NA,NA,"4530648064D",2021-11-01,12.98,21.75
"37","029D","5698683","633","CAMERON HOWARD","4208676","00409662514","SODIUM BICARB 8.4% 25X50ML","57147","PFIZER INJECTABLE SI","","",8,2021-05-24,2021-06-01,8.45,9,9,12,12,"Generics","0","Y","SODIUM BICARBONATE","2792","GENERIC DRUG","ALKALINIZING AGENTS","4","yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",1250,"02792001",25,NA,NA,"5698683029D",2021-11-01,25.31,243.46
"38","064D","2222750","628","JEANNINE ROGERS","0368163","60951060270","ENDOCET 5-325MG 100 C2","02546","PAR PHARM CS","TN","OPIOID",4,2021-05-03,2021-05-07,4.44,3,3,24,24,"Generics","0","N","OXYCODONE/ACETAMIN","70491","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",100,"70491003",1,NA,"C2, C2, C2","2222750064D",2021-11-01,44.28,25.02
"39","064D","5014360","627","LISA POSTON","4342996","53746011005","HYDROCOD/APAP 10-325MG 500 C2","04511","AMNEAL PHARMACEUTICALS LLC CS","KY","OPIOID",2,2021-08-16,2021-08-18,3,3,2,36,36,"Generics","0","N","HYDROCOD/ACETAMIN","70330","GENERIC DRUG","OPIATE AGONISTS","3","yes","SOURCE A - IN SCOPE","CENTRALIZED",500,"70330003",1,NA,"C2, C2, C2","5014360064D",2021-11-01,38.12,102.5
"40","015D","2615706","630","CODY DIERCKS","4442043","00338004941","SODIUM CL 0.9% 96X50ML VIAFLEX","00157","BAXTER IV SYSTEMS","","",7,2021-10-12,2021-10-19,1.02,2,2,16,16,"Generics","992","Y","SODIUM CHLORIDE 0.9%","2962","GENERIC DRUG","REPLACEMENT PREPARATIONS",NA,"yes","SOURCE A - OUT OF SCOPE","NOT CENTRALIZED",4800,"02962125",96,NA,NA,"2615706015D",2021-11-01,24.42,205.9
"41","064D","2607919","630","CODY DIERCKS","0368620","00338008503","DEXT/NACL 5-0.45% 24X500ML","00157","BAXTER IV SYSTEMS","","",1,2021-05-10,2021-05-11,3,3,3,4,4,"Generics","921","Y","DEXTROSE 5%/0.45% NACL","6940","GENERIC DRUG","CALORIC AGENTS",NA,NA,"GENERIC DRUG","NOT CENTRALIZED",12000,"06940047",24,NA,NA,"2607919064D",2021-11-01,0.58,103.79
"42","037D","4127890","633","CAMERON HOWARD","4354714","00409955849","ROCURONIUM 10MG/ML 10X5ML NVP","57147","PFIZER INJECTABLE SI","","REFER",8,2021-08-23,2021-08-31,8.02,7,7,60,60,"Generics","921","Y","ROCURONIUM BROMIDE","37201","GENERIC DRUG","NEUROMUSCULAR BLOCKING AGENTS",NA,"yes","GENERIC DRUG","NOT CENTRALIZED",50,"37201001",10,NA,NA,"4127890037D",2021-11-01,19.52,36.5
"43","003D","5270558","627","LISA POSTON","4171010","44567043524","LEVOFLOXACIN 250MG 24X50ML PF","10521","W G CRITICAL CARE","","",8,2021-05-03,2021-05-11,7.84,7,6,3,3,"Generics","0","N","LEVOFLOXACIN/D5W","47072","GENERIC DRUG","QUINOLONES",NA,NA,"GENERIC DRUG","NOT CENTRALIZED",1200,"47072001",24,NA,NA,"5270558003D",2021-11-01,0.75,172.8
"44","064D","2607919","630","CODY DIERCKS","0368154","00338008503","DEXT/NACL 5-0.45% 24X500ML","00157","BAXTER IV SYSTEMS","","",1,2021-05-03,2021-05-04,3,3,3,6,6,"Generics","982","Y","DEXTROSE 5%/0.45% NACL","6940","GENERIC DRUG","CALORIC AGENTS",NA,NA,"GENERIC DRUG","NOT CENTRALIZED",12000,"06940047",24,NA,NA,"2607919064D",2021-11-01,0.58,103.79
"45","064D","2222768","628","JEANNINE ROGERS","0373771","60951060285","ENDOCET 5-325MG 500 C2","02546","PAR PHARM CS","TN","OPIOID",4,2021-07-26,2021-07-30,4.08,3,3,12,12,"Generics","0","N","OXYCODONE/ACETAMIN","70491","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",500,"70491006",1,NA,"C2, C2, C2","2222768064D",2021-11-01,15.54,118.71
"46","064D","3300092","632","ADAM STEMM","0370278","00487980130","IPRATROP 0.02% 30X2.5MLUD PCH","10941","NEPHRON PHARMACEUTICALS CORP CS","","",7,2021-06-01,2021-06-08,6.79,7,7,168,160,"Generics","0","N","IPRATROPIUM BROMIDE","42235","GENERIC DRUG","ANTIMUSCARINICS/ANTISPASMODICS",NA,"yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",75,"42235002",30,NA,"OV, OV, OV","3300092064D",2021-11-01,158.24,5.52
"47","064D","5536040","628","JEANNINE ROGERS","4342986","60505708202","FENTANYL 50MCG/HR 5 C2","02775","APOTEX CORP CS","TN","OPIOID",7,2021-08-16,2021-08-23,3.59,7,7,144,144,"Generics","0","N","FENTANYL","19201","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE A - IN SCOPE","CENTRALIZED",5,"19201001",1,NA,"C2, C2, C2","5536040064D",2021-11-01,188.41,49
"48","099D","5595335","624","ASHLEY BOLTZ","4265373","67877043403","ARIPIPRAZOLE 20MG 30","09571","ASCEND LABORATORIES CS","","",9,2021-06-28,2021-07-07,5.51,4,4,288,288,"Generics","996","Y","ARIPIPRAZOLE","18539","GENERIC DRUG","ANTIPSYCHOTICS, MISCELLANEOUS","2","yes","SOURCE B - IN SCOPE","CENTRALIZED",30,"18539000",1,NA,"WH, WH, WH","5595335099D",2021-11-01,495.55,8.25
"49","099D","5022074","625","JEFF MEGYESI","4248332","57237004390","VALACYCLOVIR HCL 1GM 90 CPLT","02802","RISING PHARMA HOLDINGS INC CS","","",6,2021-06-17,2021-06-23,6,6,6,120,120,"Generics","0","Y","VALACYCLOVIR HCL","13742","GENERIC DRUG","NUCLEOSIDES AND NUCLEOTIDES",NA,"yes","SOURCE A - IN SCOPE","CENTRALIZED",90,"13742003",1,NA,"WH, WH, WH","5022074099D",2021-11-01,468.08,55
"50","099D","5427174","622","ESMERALDA TUSSING","4449164","00517671010","CALCIUM CHLORIDE 10% 10X10ML","00101","AMERICAN REGENT INC","","",7,2021-10-18,2021-10-25,3.81,3,3,410,410,"Generics","0","N","CALCIUM CHLORIDE","3760","GENERIC DRUG","REPLACEMENT PREPARATIONS","4","yes","SOURCE A - OUT OF SCOPE","CENTRALIZED",100,"03760002",10,NA,NA,"5427174099D",2021-11-01,617.36,202.2
"51","064D","5259528","633","CAMERON HOWARD","0371035","69097085705","FOSINOPRIL SODIUM 20MG 90","11037","CIPLA USA INC CS","","",38,2021-06-14,2021-07-22,6.7,7,7,48,48,"Generics","998","Y","FOSINOPRIL SODIUM","48582","GENERIC DRUG","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",90,"48582002",1,NA,"WH, WH, WH","5259528064D",2021-11-01,44.57,30.65
"52","064D","2222768","628","JEANNINE ROGERS","0374685","60951060285","ENDOCET 5-325MG 500 C2","02546","PAR PHARM CS","TN","OPIOID",3,2021-08-09,2021-08-12,3.96,3,3,1,1,"Generics","0","N","OXYCODONE/ACETAMIN","70491","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",500,"70491006",1,NA,"C2, C2, C2","2222768064D",2021-11-01,15.54,118.71
"53","064D","2222768","628","JEANNINE ROGERS","4390586","60951060285","ENDOCET 5-325MG 500 C2","02546","PAR PHARM CS","TN","OPIOID",3,2021-09-13,2021-09-16,4.16,3,3,12,12,"Generics","0","N","OXYCODONE/ACETAMIN","70491","GENERIC DRUG","OPIATE AGONISTS","4","yes","SOURCE B - IN SCOPE","CENTRALIZED",500,"70491006",1,NA,"C2, C2, C2","2222768064D",2021-11-01,15.54,118.71
"54","003D","5567490","625","JEFF MEGYESI","4352432","69918070026","SUCCINYCHOLINE20MG/ML25X10 PPX","11235","AMRING PHARMACEUTICALS INC","","",1,2021-08-23,2021-08-24,1.01,3,3,18,18,"Generics","0","N","SUCCINYLCHOLINE CHLORIDE","17992","GENERIC DRUG","NEUROMUSCULAR BLOCKING AGENTS",NA,NA,"GENERIC DRUG","NOT CENTRALIZED",250,"17992004",25,NA,NA,"5567490003D",2021-11-01,14.13,182
"55","064D","5509252","625","JEFF MEGYESI","4440881","42571014401","CELECOXIB 200MG 100","10726","MICRO LABS USA INC CS","","",8,2021-10-12,2021-10-20,3.25,6,6,132,132,"Generics","0","N","CELECOXIB","42002","GENERIC DRUG","OTHER NONSTEROIDAL ANTI-INFLAM. AGENTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",100,"42002001",1,NA,"WH, WH, WH","5509252064D",2021-11-01,113.05,50
"56","064D","5259528","633","CAMERON HOWARD","4378694","69097085705","FOSINOPRIL SODIUM 20MG 90","11037","CIPLA USA INC CS","","",19,2021-09-03,2021-09-22,9.2,7,7,72,72,"Generics","0","N","FOSINOPRIL SODIUM","48582","GENERIC DRUG","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","4","yes","SOURCE A - IN SCOPE","NOT CENTRALIZED",90,"48582002",1,NA,"WH, WH, WH","5259528064D",2021-11-01,44.57,30.65
"57","032D","5388657","628","JEANNINE ROGERS","4285571","76204080025","LEVLBUTRL 0.63MG/3ML 25X3MLUD","10352","RITEDOSE PHARMACEUTICALS CS","","",4,2021-07-12,2021-07-16,7.74,7,6,24,24,"Generics","0","N","LEVALBUTEROL HCL","24540","GENERIC DRUG","SELECTIVE BETA-2-ADRENERGIC AGONISTS","4","yes","SOURCE B - IN SCOPE","NOT CENTRALIZED",75,"24540005",25,NA,"WH, WH, WH","5388657032D",2021-11-01,20.31,30
